date,open,high,low,close,volume
2024-01-07,2241.81,2260.0,2206.6,2222.69,57747.90825542143
2024-01-08,2222.86,2360.81,2118.0,2332.51,154772.7179097265
2024-01-09,2332.52,2376.1,2226.7,2344.93,219634.47128214047
2024-01-10,2344.97,2644.42,2340.4,2584.77,413907.6256095077
2024-01-11,2584.85,2691.07,2562.3,2618.31,321015.3767103398
2024-01-12,2618.37,2717.89,2438.29,2522.03,331635.23987870396
2024-01-13,2522.02,2589.97,2496.41,2578.12,146103.43827782635
2024-01-14,2577.5,2578.96,2467.97,2471.34,123248.86038725504
2024-01-15,2471.04,2552.5,2468.6,2509.94,93860.33611060827
2024-01-16,2510.23,2616.7,2497.2,2586.83,122922.5691616059
2024-01-17,2586.46,2593.9,2505.19,2527.94,101638.630306657
2024-01-18,2528.02,2549.1,2423.43,2468.82,149615.09800412811
2024-01-19,2467.0,2507.6,2412.4,2490.13,121227.60502965383
2024-01-20,2489.98,2494.0,2452.02,2470.35,34026.20397430053
2024-01-21,2470.51,2486.7,2450.83,2455.52,27181.45960631
2024-01-22,2455.09,2469.4,2301.0,2311.34,193036.2581679735
2024-01-23,2311.05,2353.5,2165.01,2240.81,246989.53844921663
2024-01-24,2244.6,2267.0,2195.32,2234.06,94759.83437277329
2024-01-25,2234.34,2244.6,2169.47,2217.3,92579.48989754106
2024-01-26,2217.29,2287.9,2194.88,2267.34,115886.45302266623
2024-01-27,2267.47,2282.9,2250.9,2268.07,40537.08205597984
2024-01-28,2268.12,2307.97,2239.0,2256.51,50291.12495642038
2024-01-29,2256.47,2322.91,2233.15,2317.42,78469.5927823299
2024-01-30,2316.5,2391.91,2296.73,2342.96,117316.07443257482
2024-01-31,2342.96,2352.17,2262.47,2281.6,104552.66573803812
2024-02-01,2281.55,2311.4,2239.04,2303.61,80362.24179426896
2024-02-02,2303.66,2324.3,2280.14,2308.03,62360.75718858093
2024-02-03,2306.59,2329.0,2292.29,2295.97,22669.969002939488
2024-02-04,2295.97,2310.0,2266.14,2289.3,40852.39408440938
2024-02-05,2288.82,2338.1,2268.0,2298.91,55167.04871811037
2024-02-06,2299.04,2392.65,2295.79,2372.13,121040.93930300626
2024-02-07,2372.09,2446.9,2352.34,2424.55,114381.98752891926
2024-02-08,2424.71,2462.69,2410.77,2419.78,158523.4176910219
2024-02-09,2419.78,2528.4,2418.5,2487.84,190095.0423115519
2024-02-10,2488.1,2518.8,2473.32,2501.08,49992.874809738474
2024-02-11,2502.9,2541.3,2494.42,2508.9,48627.79590483935
2024-02-12,2508.49,2666.66,2472.03,2661.03,151312.47631394197
2024-02-13,2661.13,2688.0,2589.0,2641.63,163300.16705966304
2024-02-14,2641.84,2788.95,2619.36,2777.56,150522.005383667
2024-02-15,2777.51,2869.76,2757.5,2825.94,170147.29761197418
2024-02-16,2825.88,2860.28,2717.32,2803.89,142478.97113916354
2024-02-17,2804.09,2806.8,2717.4,2786.83,63925.73790145919
2024-02-18,2787.12,2896.74,2764.0,2877.1,96125.84926055494
2024-02-19,2877.1,2985.0,2856.4,2945.43,153302.30694288496
2024-02-20,2944.94,3033.53,2873.6,3015.56,216658.54798853525
2024-02-21,3009.7,3017.99,2865.18,2968.37,203939.48479728136
2024-02-22,2968.37,3036.91,2906.0,2969.77,194516.91188872585
2024-02-23,2969.75,2992.5,2905.7,2921.79,110207.2579781415
2024-02-24,2921.76,3007.2,2906.2,2992.66,58449.10486387752
2024-02-25,2992.41,3121.22,2983.45,3113.17,139746.41440036203
2024-02-26,3113.37,3198.77,3036.1,3178.34,204200.6821140905
2024-02-27,3178.69,3291.36,3161.6,3243.84,211830.30473257558
2024-02-28,3244.35,3496.02,3111.0,3386.64,313191.4538048751
2024-02-29,3386.64,3521.99,3301.0,3341.78,243536.0213229427
2024-03-01,3341.78,3455.0,3339.2,3436.0,132747.39502884337
2024-03-02,3436.37,3462.0,3393.7,3420.1,80730.12679747793
2024-03-03,3423.77,3493.78,3360.0,3489.54,88854.36763129951
2024-03-04,3489.95,3650.0,3429.6,3633.23,214173.35874880396
2024-03-05,3633.2,3829.93,3200.0,3557.41,476312.02890866826
2024-03-06,3556.7,3903.42,3499.57,3821.82,289406.41254802805
