date,open,high,low,close,volume
2024-04-25,14.532,14.91,14.352,14.592,913705.3389974096
2024-04-26,14.592,14.937,14.354,14.48,774742.287926457
2024-04-27,14.485,14.53,12.62625,14.23747,1355846.5842906185
2024-04-28,14.259,14.437,13.723,13.803,831081.6513929737
2024-04-29,13.80504,14.197,13.71,14.074,840113.5354827106
2024-04-30,14.074,14.205,12.77,13.121,1668460.312107699
2024-05-01,13.121,13.509,12.404,13.328,2358991.842415597
2024-05-02,13.331,13.789,12.915,13.588,1073139.3240925716
2024-05-03,13.59,14.22,13.453,14.1,1315940.9682593606
2024-05-04,14.101,14.5,13.979,14.324,959701.3531291524
2024-05-05,14.32,14.682,14.11,14.371,656466.4818697121
2024-05-06,14.37624,15.182,14.279,14.483,1306587.2824250213
2024-05-07,14.487,14.734,13.9577,14.001,1294276.3459028192
2024-05-08,13.996,14.135,13.684,13.893,1064655.0863023044
2024-05-09,13.892,14.386,13.836,14.235,1132456.7572552592
2024-05-10,14.235,14.388,13.487,13.564,971181.2581387426
2024-05-11,13.564,13.81,13.267,13.302,786359.2800344443
2024-05-12,13.3,13.61,13.28,13.554,355303.1768923179
2024-05-13,13.54633,13.696,13.069,13.38996,1110400.003612331
2024-05-14,13.391,13.598,12.93,12.981,895715.7283362726
2024-05-15,12.98,13.943,12.838,13.87392,1233149.3677861313
2024-05-16,13.872,15.871,13.538,15.52,3528213.3879213594
2024-05-17,15.515,16.768,15.5,16.25682,4817546.507062965
2024-05-18,16.241,16.57,16.055,16.331,1753263.3159475825
2024-05-19,16.31546,17.115,16.303,16.561,3049018.6236051912
2024-05-20,16.56139,17.465,16.375,17.267,3930741.300204427
2024-05-21,17.2654,17.454,16.50466,16.744,2106763.0052879616
2024-05-22,16.741,16.927,16.161,16.348,1434230.2874215578
2024-05-23,16.349,16.803,15.34828,16.594,2496405.096162409
2024-05-24,16.588,17.794,16.554,17.245,3417376.7832294754
2024-05-25,17.248,17.463,16.917,17.436,909582.2217684756
2024-05-26,17.438,17.901,16.983,17.032,1281635.081646893
2024-05-27,17.03464,18.852,16.878,18.773,2573939.921852987
2024-05-28,18.776,18.825,17.85321,18.513,2786007.607611357
2024-05-29,18.517,19.236,18.025,18.434,2374566.921149263
2024-05-30,18.433,19.19,17.77156,17.93938,1692764.1537722764
2024-05-31,17.945,18.742,17.449,18.395,1065552.8140283443
2024-06-01,18.396,18.685,18.249,18.4134,628322.0758197708
2024-06-02,18.427,18.55,18.061,18.138,503048.8480817573
2024-06-03,18.13317,18.362,17.53728,17.629,1182008.5242825868
2024-06-04,17.627,17.853,17.474,17.719,752345.9923155745
2024-06-05,17.714,18.081,17.61,17.746,654994.8976493313
2024-06-06,17.747,17.78,17.103,17.243,846938.1387105939
2024-06-07,17.244,17.707,15.34126,16.311,1676715.851739862
2024-06-08,16.312,16.41485,15.679,15.928,998143.9916134451
2024-06-09,15.926,16.382,15.905,16.375,385332.25380686834
2024-06-10,16.35962,16.392,15.755,15.899,813350.6006297611
2024-06-11,15.9,15.907,14.654,14.989,2037389.9346199306
2024-06-12,14.987,16.239,14.729,15.999,2009470.1498578729
2024-06-13,16.005,16.046,15.05,15.135,1273133.6977800936
2024-06-14,15.133,15.455,14.423,14.742,1878974.7483264052
2024-06-15,14.737,15.103,14.695,14.852,706656.5707340351
2024-06-16,14.852,15.223,14.564,15.131,583115.0946909797
2024-06-17,15.12333,15.209,14.008,14.518,1569157.420958975
2024-06-18,14.519,14.616,12.93,13.977,2700797.0968394307
2024-06-19,13.98,14.505,13.8967,14.338,1371649.8799897295
2024-06-20,14.34,14.862,14.185,14.248,1389677.0260100658
2024-06-21,14.252,14.582,13.84,13.844,1881328.3129000904
2024-06-22,13.845,13.927,13.451,13.477,771217.9736494465
2024-06-23,13.47661,13.679,13.13,13.184,641544.1533519787
2024-06-24,13.18471,13.684,12.66,13.609,2617071.8323651855
2024-06-25,13.601,14.294,13.566,14.19584,1364346.5838650616
2024-06-26,14.191,14.299,13.85,13.906,597000.343860266
2024-06-27,13.906,14.574,13.576,14.409,996123.8868855903
2024-06-28,14.408,14.601,13.734,13.755,986549.3788676938
2024-06-29,13.754,14.149,13.45,13.523,501397.2971839478
2024-06-30,13.524,14.368,13.429,14.251,680718.8606073225
2024-07-01,14.25841,14.577,14.201,14.32,1003403.1684403715
2024-07-02,14.325,14.764,14.232,14.397,876543.9559722762
2024-07-03,14.39175,14.598,13.541,13.576,1681878.172252065
2024-07-04,13.577,13.723,12.51,12.536,2006069.1373089107
2024-07-05,12.591,12.605,11.042,12.309,4100313.145194627
2024-07-06,12.31,13.288,12.187,13.182,1355952.719722623
2024-07-07,13.184,13.196,12.286,12.352,994750.6135898804
2024-07-08,12.35484,13.56,11.775,13.123,2528270.4613717133
2024-07-09,13.122,13.314,12.72699,12.839,1308674.2612589768
2024-07-10,12.83217,13.174,12.693,12.792,1192214.2073872925
2024-07-11,12.792,13.183,12.289,12.343,1425735.4958561023
2024-07-12,12.351,12.852,12.229,12.73499,1068149.1260815556
2024-07-13,12.749,13.148,12.705,13.021,837289.6701264302
2024-07-14,13.022,13.531,12.898,13.46,1182537.0545957813
2024-07-15,13.45499,14.51,13.409,14.403,2038741.82548323
2024-07-16,14.4,14.628,13.82,14.214,1507527.4319141614
2024-07-17,14.21556,14.5061,13.731,13.736,1064010.9546976
2024-07-18,13.739,14.0,13.413,13.594,1138707.1493143025
2024-07-19,13.59,14.15,13.34,14.087,1099488.218770278
2024-07-20,14.084,14.356,13.856,14.26,751571.946204688
2024-07-21,14.266,15.015,13.95,14.821,1556682.6143701207
2024-07-22,14.81752,14.878,13.78811,13.94,1489056.6281551612
2024-07-23,13.942,14.166,13.496,13.909,1024124.7480736611
2024-07-24,13.90822,13.98,12.47,13.403,1210035.9657504647
2024-07-25,13.403,13.462,12.461,12.935,1458814.519784686
2024-07-26,12.934,13.663,12.906,13.53,846275.2938053599
2024-07-27,13.528,13.886,13.25965,13.549,718131.448900392
2024-07-28,13.546,13.667,13.188,13.305,631813.4776211687
2024-07-29,13.30444,13.922,13.298,13.534,1169933.3262050108
2024-07-30,13.533,13.794,12.98,13.13,740869.6223573999
2024-07-31,13.13296,13.42,12.77,12.823,952544.234391847
2024-08-01,12.823,13.092,12.12,12.873,1195728.0381484772
2024-08-02,12.872,12.936,11.751,11.908,1752349.99043603
2024-08-03,11.908,12.137,11.336,11.679,1527834.5662942212
2024-08-04,11.68,11.779,10.48344,10.884,1781490.0642565866
2024-08-05,10.88278,10.979,8.082,9.49,8742651.62154833
2024-08-06,9.492,10.476,9.482,10.071,3193756.0946897017
2024-08-07,10.06928,10.491,9.423,9.489,2285215.8452491993
2024-08-08,9.492,10.838,9.34,10.754,1673758.6454065042
2024-08-09,10.752,10.752,10.16,10.541,1325548.9186567594
2024-08-10,10.542,10.706,10.4674,10.555,849607.3679062069
2024-08-11,10.559,10.844,9.948,10.001,862862.466256292
2024-08-12,9.99575,10.754,9.943,10.553,1225371.8389969696
2024-08-13,10.553,10.692,10.097,10.575,1172021.7132507595
2024-08-14,10.57629,10.759,10.212,10.40395,1185139.9502390712
2024-08-15,10.396,10.693,9.98,10.177,1611511.1755439795
2024-08-16,10.177,10.40437,9.914,10.131,1496275.6214308175
