date,open,high,low,close,volume
2024-03-28,9.441,9.6566,9.293,9.522,1824538.9151853332
2024-03-29,9.524,9.812,9.3397,9.606,2011243.1823330694
2024-03-30,9.605,9.704,9.389,9.436,1106553.4910432915
2024-03-31,9.4321,10.0,9.419,9.644,882817.8632987032
2024-04-01,9.6399,9.741,8.925,9.149,2023934.4908797655
2024-04-02,9.149,9.1507,8.372,8.588,2721885.7788066594
2024-04-03,8.585,8.784,8.287,8.4251,1875142.6835748318
2024-04-04,8.4202,8.717,8.11,8.492,1626694.3474483362
2024-04-05,8.492,8.514,8.0001,8.382,1343481.5300182858
2024-04-06,8.382,8.555,8.335,8.498,623869.0681504902
2024-04-07,8.4907,8.742,8.462,8.708,725624.2950644863
2024-04-08,8.704,9.095,8.5603,9.041,1311365.906271997
2024-04-09,9.037,9.108,8.623,8.651,2479425.3337839292
2024-04-10,8.649,8.694,8.116,8.411,4094122.2054798724
2024-04-11,8.4125,8.524,8.183,8.385,1265971.8630712316
2024-04-12,8.382,8.4925,6.4753,7.243,4698838.864809491
2024-04-13,7.242,7.3398,5.6769,6.403,6748588.777456007
2024-04-14,6.399,6.9418,6.202,6.861,4438184.021675655
2024-04-15,6.86,7.216,6.435,6.707,2762112.704702446
2024-04-16,6.71,6.8276,6.3666,6.705,1966702.596363984
2024-04-17,6.704,6.784,6.327,6.578,1337021.1204675643
2024-04-18,6.5783,6.832,6.445,6.784,1343599.5754461652
2024-04-19,6.7827,6.923,6.272,6.684,1865136.498229685
2024-04-20,6.683,7.296,6.613,7.2444,1087972.902715901
2024-04-21,7.247,7.2934,6.964,7.142,872852.3659261048
2024-04-22,7.141,7.5862,7.091,7.469,1655778.7559762213
2024-04-23,7.47,7.5483,7.2048,7.242,1882640.1555873812
2024-04-24,7.241,7.497,6.852,6.9225,1744753.1245763195
2024-04-25,6.9241,7.0012,6.7,6.86,1288874.2154635012
2024-04-26,6.8713,6.9521,6.712,6.76,996583.3665876767
2024-04-27,6.763,6.8616,6.502,6.805,872643.9135805268
2024-04-28,6.8028,6.9522,6.6865,6.723,691229.3091543166
2024-04-29,6.7233,6.8397,6.468,6.587,1495874.6226702847
2024-04-30,6.587,6.668,6.036,6.422,2028932.9912631956
2024-05-01,6.4179,6.9396,6.12,6.888,3622148.2294359785
2024-05-02,6.8891,7.4169,6.688,7.277,2496109.2286420795
2024-05-03,7.275,7.39,7.004,7.25,1750945.6320017523
2024-05-04,7.249,7.256,7.1089,7.121,1173979.7488556802
2024-05-05,7.122,7.4222,7.017,7.307,1110135.5108620354
2024-05-06,7.303,7.475,7.061,7.12,1751480.3995061016
2024-05-07,7.122,7.308,6.982,6.995,1166606.7965397325
2024-05-08,6.99,7.2,6.8918,6.982,1213142.3484393538
2024-05-09,6.9791,7.1039,6.778,7.048,1007410.1768876589
2024-05-10,7.049,7.1532,6.7,6.7471,1083773.3128548001
2024-05-11,6.747,6.808,6.633,6.661,689333.6900719926
2024-05-12,6.66,6.7997,6.589,6.614,455176.22484156425
2024-05-13,6.612,6.8379,6.431,6.673,1172799.806063211
2024-05-14,6.669,6.7017,6.464,6.482,806833.3174065956
2024-05-15,6.482,7.034,6.458,6.964,1499061.7744378396
2024-05-16,6.964,7.07,6.817,7.029,1033973.6864261319
2024-05-17,7.026,7.31,7.001,7.203,1546696.2751031572
2024-05-18,7.203,7.2467,7.058,7.159,521162.3290693051
2024-05-19,7.16,7.1829,6.894,6.933,493705.8587728181
2024-05-20,6.9309,7.583,6.853,7.575,1671019.852055583
2024-05-21,7.578,7.6699,7.429,7.611,2085084.4717635328
2024-05-22,7.61,7.7,7.379,7.4552,1302038.008561281
2024-05-23,7.4556,7.6065,6.9,7.195,2095669.4885031513
2024-05-24,7.194,7.3886,7.016,7.242,931696.6355870574
2024-05-25,7.241,7.4415,7.219,7.424,659194.4017972565
2024-05-26,7.423,7.6486,7.37,7.554,880427.0480089445
2024-05-27,7.554,7.7767,7.374,7.634,1372446.3325235422
2024-05-28,7.6332,7.6603,7.269,7.362,1474846.5044212518
2024-05-29,7.362,7.555,7.1355,7.169,1636595.3422506528
2024-05-30,7.1709,7.2385,6.921,6.993,1432349.1063414586
2024-05-31,6.992,7.0533,6.8,6.9816,1534869.7292199447
2024-06-01,6.977,7.129,6.95,7.055,506949.55206421623
2024-06-02,7.057,7.1291,6.913,6.987,571481.1564042359
2024-06-03,6.985,7.1896,6.93,7.0054,1132515.6252997348
2024-06-04,7.008,7.2335,6.94,7.177,890826.4992839416
2024-06-05,7.18,7.35,7.15,7.253,975866.8818070124
2024-06-06,7.253,7.2874,7.056,7.139,887015.446697005
2024-06-07,7.141,7.2938,6.064,6.66,2471818.892253092
2024-06-08,6.657,6.681,6.34,6.3834,1231791.4798996344
2024-06-09,6.382,6.539,6.3341,6.524,734591.858418767
2024-06-10,6.525,6.583,6.3552,6.503,1257473.3224731688
2024-06-11,6.503,6.5249,6.214,6.3777,2387051.1309579937
2024-06-12,6.376,6.929,6.276,6.734,2529729.750578165
2024-06-13,6.736,6.738,6.336,6.356,1354299.605251196
2024-06-14,6.358,6.483,6.0,6.164,1927144.296662662
2024-06-15,6.16,6.2548,6.109,6.22,510027.89451690746
2024-06-16,6.219,6.4191,6.144,6.39,555015.037605915
2024-06-17,6.392,6.412,5.9819,6.069,1327463.1540982553
2024-06-18,6.0713,6.085,5.4521,5.768,2823547.850117526
2024-06-19,5.768,5.991,5.728,5.796,1523582.4226868672
2024-06-20,5.79,5.9826,5.594,5.6398,1164086.7062602888
2024-06-21,5.64,5.7389,5.547,5.6074,937580.3687470861
2024-06-22,5.609,5.8075,5.539,5.75,1001050.8843959012
2024-06-23,5.7463,5.8227,5.5833,5.6453,828522.1645797305
2024-06-24,5.645,5.7398,5.39,5.7221,1868098.8510602764
2024-06-25,5.721,5.975,5.7,5.8369,1508698.9494731342
2024-06-26,5.8369,5.9509,5.758,5.795,922329.7920804984
2024-06-27,5.796,6.4,5.701,6.276,1910492.3738339925
2024-06-28,6.275,6.454,6.146,6.178,1354502.9745219538
2024-06-29,6.177,6.3107,6.053,6.072,505243.8834785596
2024-06-30,6.0892,6.2633,6.012,6.203,494557.8369578363
2024-07-01,6.2031,6.448,6.112,6.324,1362099.611088242
2024-07-02,6.324,6.6075,6.307,6.52,1999296.9310053808
2024-07-03,6.5213,6.5411,5.89,6.075,1847612.5690975348
2024-07-04,6.075,6.133,5.541,5.555,2496575.223504015
2024-07-05,5.5544,5.9199,4.9096,5.686,4807397.379775889
2024-07-06,5.6828,6.3157,5.632,6.24,2003878.52158106
2024-07-07,6.244,6.3134,5.882,5.9053,963095.9864390456
2024-07-08,5.908,6.3096,5.695,5.94,1575953.502757426
2024-07-09,5.94,6.186,5.84,6.117,1689811.5311015674
2024-07-10,6.1174,6.2723,6.05,6.094,1047548.9634280709
2024-07-11,6.1,6.251,5.896,5.903,1256758.9206644774
