date,open,high,low,close,volume
2024-03-10,144.58,148.78,140.34,144.56,1268342.1380408716
2024-03-11,144.58,150.18,136.64,148.9,2325649.4468882363
2024-03-12,148.91,155.0,141.05,151.06,2877716.9481024193
2024-03-13,150.86,167.0,148.73,163.95,2605530.0482414016
2024-03-14,163.95,178.35,157.88,176.69,3371713.237448431
2024-03-15,176.5,189.0,164.44,183.91,4785573.264836396
2024-03-16,184.0,197.86,176.71,181.99,3534466.654135276
2024-03-17,181.98,204.59,178.55,201.69,2771085.8140562503
2024-03-18,201.7,210.0,193.6,195.96,3096083.413410531
2024-03-19,195.9,198.7,165.15,169.76,4817806.895332996
2024-03-20,169.76,193.35,160.67,191.95,3765802.325339078
2024-03-21,191.81,196.0,175.5,179.4,2345977.181513553
2024-03-22,179.41,182.18,167.58,175.24,1737749.6804337006
2024-03-23,175.24,180.0,169.85,172.7,1266394.4292172913
2024-03-24,172.68,186.87,171.32,183.88,1407200.6329215996
2024-03-25,183.87,194.63,180.96,188.99,2138579.190527555
2024-03-26,189.04,198.03,184.56,190.45,1665826.3579029753
2024-03-27,190.48,192.77,180.0,186.24,1863809.646771477
2024-03-28,186.23,191.0,180.59,189.68,1444529.7826702525
2024-03-29,189.66,193.08,183.23,192.15,1357969.703998291
2024-03-30,192.14,200.0,190.85,194.26,1260717.4387125976
2024-03-31,194.3,203.39,193.76,202.38,1106898.4789875129
2024-04-01,202.41,204.47,186.91,192.35,1794293.6862182543
2024-04-02,192.37,192.39,175.89,181.54,2202532.954175714
2024-04-03,181.58,192.1,177.0,185.11,1352703.6344211197
2024-04-04,185.12,190.22,180.19,184.15,1252898.1683811008
2024-04-05,184.11,185.23,168.0,174.46,1948604.1708297865
2024-04-06,174.46,180.0,173.45,178.73,831449.9063834415
2024-04-07,178.78,182.73,176.83,179.53,892174.4435924154
2024-04-08,179.52,185.51,175.27,180.66,1504728.1198349518
2024-04-09,180.65,180.96,168.89,172.31,1320038.296061376
2024-04-10,172.27,175.98,162.0,173.34,1581099.4098627097
2024-04-11,173.33,176.38,170.02,172.35,999353.6715917289
2024-04-12,172.5,175.99,138.87,153.24,2455390.449991062
2024-04-13,153.29,154.99,115.04,138.48,4698177.085820373
2024-04-14,138.59,152.95,130.0,151.44,2855022.3660791856
2024-04-15,151.37,156.3,133.7,138.56,2366890.316046991
2024-04-16,138.56,140.81,126.51,136.26,2249761.5555959507
2024-04-17,136.28,142.77,126.68,131.84,2288377.0851416355
2024-04-18,131.83,143.96,127.7,142.14,2145418.9546187636
2024-04-19,142.14,147.72,128.47,142.56,3015543.001530661
2024-04-20,142.54,152.48,139.7,151.33,1122751.1896380123
2024-04-21,151.26,153.61,146.5,148.82,959484.6103751495
2024-04-22,148.81,158.58,146.7,157.02,1424251.1797387013
2024-04-23,157.02,160.19,153.15,154.69,1293084.8476991365
2024-04-24,154.69,159.83,145.25,147.71,1842334.8405717139
2024-04-25,147.71,149.5,142.04,144.83,1549599.38183967
2024-04-26,144.84,146.23,138.28,139.22,952797.1312925281
2024-04-27,139.19,143.35,133.0,141.22,941365.3393011319
2024-04-28,141.24,144.95,137.02,137.98,720536.6656825045
2024-04-29,137.98,139.14,133.37,137.73,1035837.1724021573
2024-04-30,137.67,139.94,121.0,126.66,2096484.3877087403
2024-05-01,126.63,136.06,118.06,134.46,2324753.3524854584
