symbol
AAPL
MSFT
AMZN
NVDA
GOOGL
GOOG
META
BRK.B
LLY
AVGO
JPM
V
XOM
UNH
MA
COST
HD
PG
MRK
ABBV
CRM
ADBE
KO
PEP
BAC
WMT
CSCO
TMO
ACN
MCD
INTC
NFLX
LIN
WFC
ORCL
CVX
AMD
DIS
ABT
QCOM
TXN
AMGN
COP
PM
IBM
GE
CAT
INTU
HON
SPGI
RTX
NOW
UNP
LOW
AMAT
BKNG
ISRG
DE
GS
ELV
SBUX
MDT
BLK
BA
GILD
LMT
ADP
CI
MU
PANW
SYK
MMC
VRTX
PFE
TGT
SCHW
AXP
ZTS
CB
REGN
NKE
SO
PLD
TJX
MDLZ
C
DUK
BSX
NEE
SLB
FDX
ADI
ETN
EOG
CSX
KLAC
ITW
SHW
WM
CME
ICE
MCO
BDX
EMR
FISV
APH
GM
HCA
MS
TFC
MAR
PSA
NSC
AON
PNC
CTAS
CMG
ORLY
MPC
WELL
DHR
USB
KDP
NOC
GD
PH
AJG
EW
ROST
RSG
SYY
AIG
ALL
ECL
DXCM
GIS
HUM
CARR
MCK
MET
PAYX
IDXX
ADSK
VLO
F
LRCX
CTVA
COF
TT
KMB
TROW
KR
NEM
ON
FCX
AZO
TRV
BMY
NSC
SPG
CNC
AFL
OXY
NDAQ
CINF
WBA
