week,week_start,week_end,start_equity,end_equity,weekly_return,weekly_return_pct,trades,realized_pnl,volatility_annualized,max_drawdown,max_drawdown_pct
2024-01-01/2024-01-07,2024-01-01,2024-01-07,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-01-08/2024-01-14,2024-01-08,2024-01-14,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-01-15/2024-01-21,2024-01-15,2024-01-21,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-01-22/2024-01-28,2024-01-22,2024-01-28,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-01-29/2024-02-04,2024-01-29,2024-02-04,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-02-05/2024-02-11,2024-02-05,2024-02-11,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-02-12/2024-02-18,2024-02-12,2024-02-18,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-02-19/2024-02-25,2024-02-19,2024-02-25,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-02-26/2024-03-03,2024-02-26,2024-03-03,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-03-04/2024-03-10,2024-03-04,2024-03-10,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-03-11/2024-03-17,2024-03-11,2024-03-17,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-03-18/2024-03-24,2024-03-18,2024-03-24,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-03-25/2024-03-31,2024-03-25,2024-03-31,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-04-01/2024-04-07,2024-04-01,2024-04-07,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-04-08/2024-04-14,2024-04-08,2024-04-14,100000.0,69525.6732849121,-0.30474326715087896,-30.474326715087898,0,0.0,1.6928246519918406,0.30474326715087896,30.474326715087898
2024-04-15/2024-04-21,2024-04-15,2024-04-21,69525.6732849121,69525.6732849121,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-04-22/2024-04-28,2024-04-22,2024-04-28,69525.6732849121,69525.6732849121,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-04-29/2024-05-05,2024-04-29,2024-05-05,69525.6732849121,69525.6732849121,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-05-06/2024-05-12,2024-05-06,2024-05-12,64649.19736778259,56816.08161613464,-0.12116338749089439,-12.11633874908944,0,0.0,0.7192991015127439,0.12116338749089438,12.116338749089438
2024-05-13/2024-05-19,2024-05-13,2024-05-19,56816.08161613464,38786.683071212756,-0.31732914400421963,-31.73291440042196,0,0.0,1.2833395523253066,0.3173291440042196,31.732914400421958
2024-05-20/2024-05-26,2024-05-20,2024-05-26,29939.219646835314,21058.905870742787,-0.2966113973859439,-29.66113973859439,0,0.0,1.5984375971409224,0.2966113973859439,29.66113973859439
2024-05-27/2024-06-02,2024-05-27,2024-06-02,21058.905870742787,17725.04730293273,-0.15831110069406784,-15.831110069406783,0,0.0,0.5921833889280735,0.1583111006940678,15.831110069406781
2024-06-03/2024-06-09,2024-06-03,2024-06-09,12980.686485824574,7005.938663101183,-0.4602798033253521,-46.027980332535215,0,0.0,2.090605036331069,0.4602798033253521,46.027980332535215
2024-06-10/2024-06-16,2024-06-10,2024-06-16,7005.938663101183,2021.8613520049912,-0.7114075002320941,-71.1407500232094,0,0.0,2.8044957464996125,0.7114075002320941,71.1407500232094
2024-06-17/2024-06-23,2024-06-17,2024-06-23,1802.0954557037217,1802.0954557037217,0.0,0.0,0,0.0,0.603791206073986,0.0,0.0
2024-06-24/2024-06-30,2024-06-24,2024-06-30,1802.0954557037217,1034.8135927581648,-0.42577204249479217,-42.577204249479216,0,0.0,1.5175016572264075,0.4257720424947922,42.57720424947922
2024-07-01/2024-07-07,2024-07-01,2024-07-07,1034.8135927581648,1034.8135927581648,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-07-08/2024-07-14,2024-07-08,2024-07-14,1034.8135927581648,1034.8135927581648,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-07-15/2024-07-21,2024-07-15,2024-07-21,1034.8135927581648,1034.8135927581648,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-07-22/2024-07-28,2024-07-22,2024-07-28,1034.8135927581648,1034.8135927581648,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-07-29/2024-08-04,2024-07-29,2024-08-04,1034.8135927581648,1034.8135927581648,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-08-05/2024-08-11,2024-08-05,2024-08-11,1034.8135927581648,1034.8135927581648,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-08-12/2024-08-18,2024-08-12,2024-08-18,1034.8135927581648,1034.8135927581648,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-08-19/2024-08-25,2024-08-19,2024-08-25,1034.8135927581648,1034.8135927581648,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-08-26/2024-09-01,2024-08-26,2024-09-01,1034.8135927581648,1034.8135927581648,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-09-02/2024-09-08,2024-09-02,2024-09-08,1034.8135927581648,1034.8135927581648,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-09-09/2024-09-15,2024-09-09,2024-09-15,1034.8135927581648,1034.8135927581648,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-09-16/2024-09-22,2024-09-16,2024-09-22,1034.8135927581648,1034.8135927581648,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-09-23/2024-09-29,2024-09-23,2024-09-29,1034.8135927581648,1034.8135927581648,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-09-30/2024-10-06,2024-09-30,2024-10-06,1034.8135927581648,1034.8135927581648,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-10-07/2024-10-13,2024-10-07,2024-10-13,1034.8135927581648,1034.8135927581648,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-10-14/2024-10-20,2024-10-14,2024-10-20,1034.8135927581648,1034.8135927581648,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-10-21/2024-10-27,2024-10-21,2024-10-27,1034.8135927581648,1034.8135927581648,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-10-28/2024-11-03,2024-10-28,2024-11-03,1034.8135927581648,1034.8135927581648,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-11-04/2024-11-10,2024-11-04,2024-11-10,1034.8135927581648,1034.8135927581648,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-11-11/2024-11-17,2024-11-11,2024-11-17,1034.8135927581648,1034.8135927581648,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-11-18/2024-11-24,2024-11-18,2024-11-24,1034.8135927581648,1034.8135927581648,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-11-25/2024-12-01,2024-11-25,2024-12-01,1034.8135927581648,1034.8135927581648,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-12-02/2024-12-08,2024-12-02,2024-12-08,1034.8135927581648,1034.8135927581648,0.0,0.0,0,0.0,0.0,0.0,0.0
