date,equity,cash,positions,exposure,exposure_pct
2024-03-01,100000.0,100000.0,0,0.0,0.0
2024-03-02,100000.0,100000.0,0,0.0,0.0
2024-03-03,100000.0,100000.0,0,0.0,0.0
2024-03-04,100000.0,100000.0,0,0.0,0.0
2024-03-05,100000.0,100000.0,0,0.0,0.0
2024-03-06,100000.0,100000.0,0,0.0,0.0
2024-03-07,100000.0,100000.0,0,0.0,0.0
2024-03-08,100000.0,100000.0,0,0.0,0.0
2024-03-09,100000.0,100000.0,0,0.0,0.0
2024-03-10,100000.0,100000.0,0,0.0,0.0
2024-03-11,100000.0,100000.0,0,0.0,0.0
2024-03-12,100000.0,100000.0,0,0.0,0.0
2024-03-13,100000.0,100000.0,0,0.0,0.0
2024-03-14,100000.0,100000.0,0,0.0,0.0
2024-03-15,100000.0,100000.0,0,0.0,0.0
2024-03-16,100000.0,100000.0,0,0.0,0.0
2024-03-17,100000.0,100000.0,0,0.0,0.0
2024-03-18,100000.0,100000.0,0,0.0,0.0
2024-03-19,100000.0,100000.0,0,0.0,0.0
2024-03-20,100000.0,100000.0,0,0.0,0.0
2024-03-21,100000.0,100000.0,0,0.0,0.0
2024-03-22,100000.0,100000.0,0,0.0,0.0
2024-03-23,100000.0,100000.0,0,0.0,0.0
2024-03-24,100000.0,100000.0,0,0.0,0.0
2024-03-25,100000.0,100000.0,0,0.0,0.0
2024-03-26,100000.0,100000.0,0,0.0,0.0
2024-03-27,100000.0,100000.0,0,0.0,0.0
2024-03-28,100000.0,100000.0,0,0.0,0.0
2024-03-29,100000.0,100000.0,0,0.0,0.0
2024-03-30,100000.0,100000.0,0,0.0,0.0
2024-03-31,100000.0,100000.0,0,0.0,0.0
2024-04-01,100000.0,100000.0,0,0.0,0.0
2024-04-02,100000.0,100000.0,0,0.0,0.0
2024-04-03,100000.0,100000.0,0,0.0,0.0
2024-04-04,100000.0,100000.0,0,0.0,0.0
2024-04-05,100000.0,100000.0,0,0.0,0.0
2024-04-06,100000.0,100000.0,0,0.0,0.0
2024-04-07,100000.0,100000.0,0,0.0,0.0
2024-04-08,100000.0,100000.0,0,0.0,0.0
2024-04-09,100000.0,100000.0,0,0.0,0.0
2024-04-10,100000.0,100000.0,0,0.0,0.0
2024-04-11,99963.40922713764,85767.70961165913,1,14195.699615478516,14.200895833017194
2024-04-12,99705.10966659077,85767.70961165913,1,13937.40005493164,13.978621658947727
2024-04-13,99705.10966659077,85767.70961165913,1,13937.40005493164,13.978621658947727
2024-04-14,99705.10966659077,85767.70961165913,1,13937.40005493164,13.978621658947727
2024-04-15,99663.70906234272,85767.70961165913,1,13895.999450683594,13.942888119878438
2024-04-16,99760.00972152241,85767.70961165913,1,13992.300109863281,14.02596105285318
2024-04-17,99808.60911727436,85767.70961165913,1,14040.899505615234,14.067824038222277
2024-04-18,99635.80928206928,85767.70961165913,1,13868.099670410156,13.918790613874096
2024-04-19,99832.90950179585,85767.70961165913,1,14065.199890136719,14.08874083739261
2024-04-20,99832.90950179585,85767.70961165913,1,14065.199890136719,14.08874083739261
2024-04-21,99832.90950179585,85767.70961165913,1,14065.199890136719,14.08874083739261
2024-04-22,100011.10911727436,85767.70961165913,1,14243.399505615234,14.24181736542211
2024-04-23,100089.41005111225,85767.70961165913,1,14321.700439453125,14.308906838535185
2024-04-24,99807.70961165913,85767.70961165913,1,14040.0,14.067049584273702
2024-04-25,101243.20933700092,85767.70961165913,1,15475.499725341797,15.285469343261951
2024-04-26,100721.20906234272,85767.70961165913,1,14953.499450683594,14.846425683222217
2024-04-27,100721.20906234272,85767.70961165913,1,14953.499450683594,14.846425683222217
2024-04-28,100721.20906234272,85767.70961165913,1,14953.499450683594,14.846425683222217
2024-04-29,100417.90950179585,85767.70961165913,1,14650.199890136719,14.589230111262891
2024-04-30,100515.10966659077,85767.70961165913,1,14747.40005493164,14.67182407087736
2024-05-01,100763.509172206,85767.70961165913,1,14995.799560546875,14.882172806148386
2024-05-02,100819.3101060439,85767.70961165913,1,15051.600494384766,14.929283366999012
2024-05-03,100896.71016097553,85767.70961165913,1,15129.000549316406,14.994542959011111
2024-05-04,100896.71016097553,85767.70961165913,1,15129.000549316406,14.994542959011111
2024-05-05,100896.71016097553,85767.70961165913,1,15129.000549316406,14.994542959011111
2024-05-06,101174.66459038359,85037.73258354765,2,16136.932006835938,15.949577962198369
2024-05-07,101005.22904350859,85037.73258354765,2,15967.496459960938,15.808583982402382
2024-05-08,101044.10920097929,85037.73258354765,2,16006.37661743164,15.840979493019777
2024-05-09,100935.25602104765,85037.73258354765,2,15897.5234375,15.750218569995948
2024-05-10,100983.52454521757,85037.73258354765,2,15945.791961669922,15.79048863018229
2024-05-11,100983.52454521757,85037.73258354765,2,15945.791961669922,15.79048863018229
2024-05-12,100983.52454521757,85037.73258354765,2,15945.791961669922,15.79048863018229
2024-05-13,101099.18027641875,85037.73258354765,2,16061.447692871094,15.886822869341707
2024-05-14,101320.67206719023,85037.73258354765,2,16282.939483642578,16.07069826071094
2024-05-15,101468.80393364531,85037.73258354765,2,16431.071350097656,16.19322462975184
2024-05-16,101622.96433403593,85037.73258354765,2,16585.23175048828,16.320358158390675
2024-05-17,101718.7724089871,85037.73258354765,2,16681.039825439453,16.399175324657815
2024-05-18,101718.7724089871,85037.73258354765,2,16681.039825439453,16.399175324657815
2024-05-19,101718.7724089871,85037.73258354765,2,16681.039825439453,16.399175324657815
2024-05-20,101807.32114555937,85037.73258354765,2,16769.58856201172,16.471888635627042
2024-05-21,101671.53299858671,85037.73258354765,2,16633.800415039062,16.360332065879525
2024-05-22,101487.62488701445,85037.73258354765,2,16449.892303466797,16.20876665680211
2024-05-23,101638.58509209257,85037.73258354765,2,16600.852508544922,16.33321881990313
2024-05-24,101824.94004204375,85037.73258354765,2,16787.207458496094,16.48634160900524
2024-05-25,101824.94004204375,85037.73258354765,2,16787.207458496094,16.48634160900524
2024-05-26,101824.94004204375,85037.73258354765,2,16787.207458496094,16.48634160900524
2024-05-27,101824.94004204375,85037.73258354765,2,16787.207458496094,16.48634160900524
2024-05-28,101787.33200981718,85037.73258354765,2,16749.59942626953,16.45548527065634
2024-05-29,101365.83334975528,100481.83334975528,1,884.0,0.872088721403615
2024-05-30,101358.89737563419,100481.83334975528,1,877.0640258789062,0.8653054133259986
2024-05-31,101401.83334975528,100481.83334975528,1,920.0,0.9072814263887471
2024-06-01,101401.83334975528,100481.83334975528,1,920.0,0.9072814263887471
2024-06-02,101401.83334975528,100481.83334975528,1,920.0,0.9072814263887471
2024-06-03,101386.38681861672,89959.99051734719,2,11426.396301269531,11.270148448737695
2024-06-04,101516.49027320657,89959.99051734719,2,11556.499755859375,11.383864557135407
2024-06-05,101429.89429542336,89959.99051734719,2,11469.903778076172,11.308208351937232
2024-06-06,101559.15448829446,89959.99051734719,2,11599.163970947266,11.42109151005601
2024-06-07,101362.79026099954,89959.99051734719,2,11402.799743652344,11.24949275201602
2024-06-08,101362.79026099954,89959.99051734719,2,11402.799743652344,11.24949275201602
2024-06-09,101362.79026099954,89959.99051734719,2,11402.799743652344,11.24949275201602
2024-06-10,102113.37021705422,89959.99051734719,2,12153.379699707031,11.901849555913751
2024-06-11,102640.55629182966,76019.25599886091,3,26621.30029296875,25.936434149166672
2024-06-12,102755.65587068709,76019.25599886091,3,26736.399871826172,26.01939488904884
2024-06-13,102710.99656892927,76019.25599886091,3,26691.74057006836,25.987227718266322
2024-06-14,103115.11570955427,76019.25599886091,3,27095.85971069336,26.277291669840753
2024-06-15,103115.11570955427,76019.25599886091,3,27095.85971069336,26.277291669840753
2024-06-16,103115.11570955427,76019.25599886091,3,27095.85971069336,26.277291669840753
2024-06-17,102958.43553377302,76019.25599886091,3,26939.17953491211,26.165101863921937
2024-06-18,102650.61598421248,76019.25599886091,3,26631.359985351562,25.943692329569096
2024-06-19,102650.61598421248,76019.25599886091,3,26631.359985351562,25.943692329569096
2024-06-20,102629.23625398787,76019.25599886091,3,26609.980255126953,25.92826491397861
2024-06-21,102420.10740348272,67556.13679191045,4,34863.970611572266,34.0401621277608
2024-06-22,102420.10740348272,67556.13679191045,4,34863.970611572266,34.0401621277608
2024-06-23,102420.10740348272,67556.13679191045,4,34863.970611572266,34.0401621277608
2024-06-24,102719.59745475225,67556.13679191045,4,35163.4606628418,34.232475140229425
2024-06-25,103161.88705130987,67556.13679191045,4,35605.750259399414,34.51444256897908
2024-06-26,103375.64756461553,67556.13679191045,4,35819.51077270508,34.64985382588863
2024-06-27,102799.16676017217,67556.13679191045,4,35243.02996826172,34.28338096405276
2024-06-28,103563.73721000127,67556.13679191045,4,36007.60041809082,34.76854098561202
2024-06-29,103563.73721000127,67556.13679191045,4,36007.60041809082,34.76854098561202
2024-06-30,103563.73721000127,67556.13679191045,4,36007.60041809082,34.76854098561202
2024-07-01,103984.03028742579,65873.11988703517,5,38110.910400390625,36.650734055072654
2024-07-02,104062.97987238673,65873.11988703517,5,38189.85998535156,36.69879531816607
2024-07-03,104748.01985041407,65873.11988703517,5,38874.899963378906,37.11277790157217
2024-07-04,104748.01985041407,65873.11988703517,5,38874.899963378906,37.11277790157217
2024-07-05,104718.3098437002,65873.11988703517,5,38845.18995666504,37.09493594257236
2024-07-06,104718.3098437002,65873.11988703517,5,38845.18995666504,37.09493594257236
2024-07-07,104718.3098437002,65873.11988703517,5,38845.18995666504,37.09493594257236
2024-07-08,104522.15962092188,65873.11988703517,5,38649.03973388672,36.97688592931681
2024-07-09,105033.11926142481,65873.11988703517,5,39159.99937438965,37.28347748763072
2024-07-10,104086.26095454005,65873.11988703517,5,38213.14106750488,36.71295396439937
2024-07-11,104187.09942499903,65873.11988703517,5,38313.97953796387,36.77420693100769
2024-07-12,104488.62312984868,85284.11342525884,3,19204.509704589844,18.379522219107315
2024-07-13,104488.62312984868,85284.11342525884,3,19204.509704589844,18.379522219107315
2024-07-14,104488.62312984868,85284.11342525884,3,19204.509704589844,18.379522219107315
2024-07-15,104445.93370724126,85284.11342525884,3,19161.820281982422,18.346162078164205
2024-07-16,104056.87808737597,90008.08774313769,2,14048.790344238281,13.501068456466273
2024-07-17,103784.35727438769,90008.08774313769,2,13776.26953125,13.273936355194602
2024-07-18,103794.61786678164,91681.87799861758,1,12112.739868164062,11.669911327878799
2024-07-19,103775.71836116641,91681.87799861758,1,12093.840362548828,11.653824761259784
2024-07-20,103775.71836116641,91681.87799861758,1,12093.840362548828,11.653824761259784
2024-07-21,103775.71836116641,91681.87799861758,1,12093.840362548828,11.653824761259784
2024-07-22,103832.41770198672,91681.87799861758,1,12150.53970336914,11.702067593420445
2024-07-23,103485.78853844179,103485.78853844179,0,0.0,0.0
2024-07-24,103485.78853844179,103485.78853844179,0,0.0,0.0
2024-07-25,103485.78853844179,103485.78853844179,0,0.0,0.0
2024-07-26,103485.78853844179,103485.78853844179,0,0.0,0.0
2024-07-27,103485.78853844179,103485.78853844179,0,0.0,0.0
2024-07-28,103485.78853844179,103485.78853844179,0,0.0,0.0
2024-07-29,103485.78853844179,103485.78853844179,0,0.0,0.0
2024-07-30,103485.78853844179,103485.78853844179,0,0.0,0.0
2024-07-31,103485.78853844179,103485.78853844179,0,0.0,0.0
2024-08-01,103485.78853844179,103485.78853844179,0,0.0,0.0
2024-08-02,103485.78853844179,103485.78853844179,0,0.0,0.0
2024-08-03,103485.78853844179,103485.78853844179,0,0.0,0.0
2024-08-04,103485.78853844179,103485.78853844179,0,0.0,0.0
2024-08-05,103485.78853844179,103485.78853844179,0,0.0,0.0
2024-08-06,103485.78853844179,103485.78853844179,0,0.0,0.0
2024-08-07,103485.78853844179,103485.78853844179,0,0.0,0.0
2024-08-08,103485.78853844179,103485.78853844179,0,0.0,0.0
2024-08-09,103466.84947243647,95727.599289331,1,7739.250183105469,7.479932193322656
2024-08-10,103466.84947243647,95727.599289331,1,7739.250183105469,7.479932193322656
2024-08-11,103466.84947243647,95727.599289331,1,7739.250183105469,7.479932193322656
2024-08-12,103655.69895974116,95727.599289331,1,7928.099670410156,7.6484937634633585
2024-08-13,103628.99943581538,95727.599289331,1,7901.400146484375,7.624699832577521
2024-08-14,103787.54954567866,95727.599289331,1,8059.950256347656,7.76581612306044
2024-08-15,103638.89903298335,95727.599289331,1,7911.299743652344,7.633523529745865
2024-08-16,103907.02143703493,90377.8209975818,2,13529.200439453125,13.020487212841033
2024-08-17,103907.02143703493,90377.8209975818,2,13529.200439453125,13.020487212841033
2024-08-18,103907.02143703493,90377.8209975818,2,13529.200439453125,13.020487212841033
2024-08-19,103688.30560233296,77946.1058953017,3,25742.19970703125,24.82652171572573
2024-08-20,103946.38500907124,77946.1058953017,3,26000.27911376953,25.01316338370067
2024-08-21,103509.55574729145,77946.1058953017,3,25563.449851989746,24.696705214734408
2024-08-22,103711.61541678608,77946.1058953017,3,25765.509521484375,24.843417410808296
2024-08-23,103508.36583640278,77946.1058953017,3,25562.259941101074,24.69583954354258
2024-08-24,103508.36583640278,77946.1058953017,3,25562.259941101074,24.69583954354258
2024-08-25,103508.36583640278,77946.1058953017,3,25562.259941101074,24.69583954354258
2024-08-26,103741.54582144917,77946.1058953017,3,25795.43992614746,24.86510078666488
2024-08-27,103430.91587760151,77946.1058953017,3,25484.809982299805,24.63945114095105
2024-08-28,103307.63540579975,77946.1058953017,3,25361.529510498047,24.549520866367867
2024-08-29,103479.49740271631,69187.91791205469,4,34291.57949066162,33.13852536141278
2024-08-30,102326.24780477158,81298.1081258165,2,21028.139678955078,20.55009357821338
2024-08-31,102326.24780477158,81298.1081258165,2,21028.139678955078,20.55009357821338
2024-09-01,102326.24780477158,81298.1081258165,2,21028.139678955078,20.55009357821338
2024-09-02,102326.24780477158,81298.1081258165,2,21028.139678955078,20.55009357821338
2024-09-03,102374.51595081651,89719.01595081651,1,12655.5,12.361963211704019
2024-09-04,102213.4757896837,89719.01595081651,1,12494.459838867188,12.223887058274013
2024-09-05,102013.21413574186,89618.19472656217,1,12395.019409179688,12.150405723602141
2024-09-06,102155.55483398405,89618.19472656217,1,12537.360107421875,12.27281289578105
2024-09-07,102155.55483398405,89618.19472656217,1,12537.360107421875,12.27281289578105
2024-09-08,102155.55483398405,89618.19472656217,1,12537.360107421875,12.27281289578105
2024-09-09,102256.75429687467,89618.19472656217,1,12638.5595703125,12.35963302103241
2024-09-10,102386.55483398405,89618.19472656217,1,12768.360107421875,12.47073908104955
2024-09-11,102522.29445800748,89618.19472656217,1,12904.099731445312,12.586627913142106
2024-09-12,101414.65958757178,101414.65958757178,0,0.0,0.0
2024-09-13,101414.65958757178,101414.65958757178,0,0.0,0.0
2024-09-14,101414.65958757178,101414.65958757178,0,0.0,0.0
2024-09-15,101414.65958757178,101414.65958757178,0,0.0,0.0
2024-09-16,101414.65958757178,101414.65958757178,0,0.0,0.0
2024-09-17,101414.65958757178,101414.65958757178,0,0.0,0.0
2024-09-18,101414.65958757178,101414.65958757178,0,0.0,0.0
2024-09-19,101395.1209934084,96920.62111547872,2,4474.4998779296875,4.412934107766951
2024-09-20,101492.67098120137,96920.62111547872,2,4572.049865722656,4.504807905360475
2024-09-21,101492.67098120137,96920.62111547872,2,4572.049865722656,4.504807905360475
2024-09-22,101492.67098120137,96920.62111547872,2,4572.049865722656,4.504807905360475
2024-09-23,101517.16123083516,96920.62111547872,2,4596.540115356445,4.527845400350179
2024-09-24,101660.16821015601,88796.77840913062,3,12863.38980102539,12.653323349252846
2024-09-25,101688.31884492164,88796.77840913062,3,12891.540435791016,12.677503750898941
2024-09-26,101755.99871552711,88796.77840913062,3,12959.220306396484,12.735583621586544
2024-09-27,101701.68819916969,88796.77840913062,3,12904.909790039062,12.688982866013449
2024-09-28,101701.68819916969,88796.77840913062,3,12904.909790039062,12.688982866013449
2024-09-29,101701.68819916969,88796.77840913062,3,12904.909790039062,12.688982866013449
2024-09-30,101611.36803925758,88796.77840913062,3,12814.589630126953,12.611373980494026
2024-10-01,101788.36875642066,88796.77840913062,3,12991.590347290039,12.763334854475255
2024-10-02,101822.54864228492,88796.77840913062,3,13025.770233154297,12.792618537683065
2024-10-03,102159.53843415504,88796.77840913062,3,13362.760025024414,13.080286216873546
