week,week_start,week_end,start_equity,end_equity,weekly_return,weekly_return_pct,trades,realized_pnl,volatility_annualized,max_drawdown,max_drawdown_pct
2024-02-26/2024-03-03,2024-03-01,2024-03-03,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-03-04/2024-03-10,2024-03-04,2024-03-10,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-03-11/2024-03-17,2024-03-11,2024-03-17,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-03-18/2024-03-24,2024-03-18,2024-03-24,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-03-25/2024-03-31,2024-03-25,2024-03-31,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-04-01/2024-04-07,2024-04-01,2024-04-07,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-04-08/2024-04-14,2024-04-08,2024-04-14,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-04-15/2024-04-21,2024-04-15,2024-04-21,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-04-22/2024-04-28,2024-04-22,2024-04-28,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-04-29/2024-05-05,2024-04-29,2024-05-05,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-05-06/2024-05-12,2024-05-06,2024-05-12,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-05-13/2024-05-19,2024-05-13,2024-05-19,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-05-20/2024-05-26,2024-05-20,2024-05-26,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-05-27/2024-06-02,2024-05-27,2024-06-02,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-06-03/2024-06-09,2024-06-03,2024-06-09,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-06-10/2024-06-16,2024-06-10,2024-06-16,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-06-17/2024-06-23,2024-06-17,2024-06-23,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-06-24/2024-06-30,2024-06-24,2024-06-30,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-07-01/2024-07-07,2024-07-01,2024-07-07,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-07-08/2024-07-14,2024-07-08,2024-07-14,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-07-15/2024-07-21,2024-07-15,2024-07-21,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-07-22/2024-07-28,2024-07-22,2024-07-28,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-07-29/2024-08-04,2024-07-29,2024-08-04,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
