date,equity,cash,positions,exposure,exposure_pct
2024-03-01,100000.0,100000.0,0,0.0,0.0
2024-03-02,100000.0,100000.0,0,0.0,0.0
2024-03-03,100000.0,100000.0,0,0.0,0.0
2024-03-04,100000.0,100000.0,0,0.0,0.0
2024-03-05,100000.0,100000.0,0,0.0,0.0
2024-03-06,100000.0,100000.0,0,0.0,0.0
2024-03-07,100000.0,100000.0,0,0.0,0.0
2024-03-08,100000.0,100000.0,0,0.0,0.0
2024-03-09,100000.0,100000.0,0,0.0,0.0
2024-03-10,100000.0,100000.0,0,0.0,0.0
2024-03-11,100000.0,100000.0,0,0.0,0.0
2024-03-12,100000.0,100000.0,0,0.0,0.0
2024-03-13,100000.0,100000.0,0,0.0,0.0
2024-03-14,100000.0,100000.0,0,0.0,0.0
2024-03-15,100000.0,100000.0,0,0.0,0.0
2024-03-16,100000.0,100000.0,0,0.0,0.0
2024-03-17,100000.0,100000.0,0,0.0,0.0
2024-03-18,100000.0,100000.0,0,0.0,0.0
2024-03-19,100000.0,100000.0,0,0.0,0.0
2024-03-20,100000.0,100000.0,0,0.0,0.0
2024-03-21,100000.0,100000.0,0,0.0,0.0
2024-03-22,100000.0,100000.0,0,0.0,0.0
2024-03-23,100000.0,100000.0,0,0.0,0.0
2024-03-24,100000.0,100000.0,0,0.0,0.0
2024-03-25,100000.0,100000.0,0,0.0,0.0
2024-03-26,100000.0,100000.0,0,0.0,0.0
2024-03-27,100000.0,100000.0,0,0.0,0.0
2024-03-28,100000.0,100000.0,0,0.0,0.0
2024-03-29,100000.0,100000.0,0,0.0,0.0
2024-03-30,100000.0,100000.0,0,0.0,0.0
2024-03-31,100000.0,100000.0,0,0.0,0.0
2024-04-01,100000.0,100000.0,0,0.0,0.0
2024-04-02,100000.0,100000.0,0,0.0,0.0
2024-04-03,100000.0,100000.0,0,0.0,0.0
2024-04-04,100000.0,100000.0,0,0.0,0.0
2024-04-05,100000.0,100000.0,0,0.0,0.0
2024-04-06,100000.0,100000.0,0,0.0,0.0
2024-04-07,100000.0,100000.0,0,0.0,0.0
2024-04-08,100000.0,100000.0,0,0.0,0.0
2024-04-09,100000.0,100000.0,0,0.0,0.0
2024-04-10,100000.0,100000.0,0,0.0,0.0
2024-04-11,99963.40922713764,85767.70961165913,1,14195.699615478516,14.200895833017194
2024-04-12,99705.10966659077,85767.70961165913,1,13937.40005493164,13.978621658947727
2024-04-13,99705.10966659077,85767.70961165913,1,13937.40005493164,13.978621658947727
2024-04-14,99705.10966659077,85767.70961165913,1,13937.40005493164,13.978621658947727
2024-04-15,99663.70906234272,85767.70961165913,1,13895.999450683594,13.942888119878438
2024-04-16,99760.00972152241,85767.70961165913,1,13992.300109863281,14.02596105285318
2024-04-17,99808.60911727436,85767.70961165913,1,14040.899505615234,14.067824038222277
2024-04-18,99635.80928206928,85767.70961165913,1,13868.099670410156,13.918790613874096
2024-04-19,99832.90950179585,85767.70961165913,1,14065.199890136719,14.08874083739261
2024-04-20,99832.90950179585,85767.70961165913,1,14065.199890136719,14.08874083739261
2024-04-21,99832.90950179585,85767.70961165913,1,14065.199890136719,14.08874083739261
2024-04-22,100011.10911727436,85767.70961165913,1,14243.399505615234,14.24181736542211
2024-04-23,100089.41005111225,85767.70961165913,1,14321.700439453125,14.308906838535185
2024-04-24,99807.70961165913,85767.70961165913,1,14040.0,14.067049584273702
2024-04-25,101243.20933700092,85767.70961165913,1,15475.499725341797,15.285469343261951
2024-04-26,100721.20906234272,85767.70961165913,1,14953.499450683594,14.846425683222217
2024-04-27,100721.20906234272,85767.70961165913,1,14953.499450683594,14.846425683222217
2024-04-28,100721.20906234272,85767.70961165913,1,14953.499450683594,14.846425683222217
2024-04-29,100417.90950179585,85767.70961165913,1,14650.199890136719,14.589230111262891
2024-04-30,100515.10966659077,85767.70961165913,1,14747.40005493164,14.67182407087736
2024-05-01,100763.509172206,85767.70961165913,1,14995.799560546875,14.882172806148386
2024-05-02,100819.3101060439,85767.70961165913,1,15051.600494384766,14.929283366999012
2024-05-03,100896.71016097553,85767.70961165913,1,15129.000549316406,14.994542959011111
2024-05-04,100896.71016097553,85767.70961165913,1,15129.000549316406,14.994542959011111
2024-05-05,100896.71016097553,85767.70961165913,1,15129.000549316406,14.994542959011111
2024-05-06,101174.66459038359,85037.73258354765,2,16136.932006835938,15.949577962198369
2024-05-07,101005.22904350859,85037.73258354765,2,15967.496459960938,15.808583982402382
2024-05-08,101044.10920097929,85037.73258354765,2,16006.37661743164,15.840979493019777
2024-05-09,100935.25602104765,85037.73258354765,2,15897.5234375,15.750218569995948
2024-05-10,100983.52454521757,85037.73258354765,2,15945.791961669922,15.79048863018229
2024-05-11,100983.52454521757,85037.73258354765,2,15945.791961669922,15.79048863018229
2024-05-12,100983.52454521757,85037.73258354765,2,15945.791961669922,15.79048863018229
2024-05-13,101099.18027641875,85037.73258354765,2,16061.447692871094,15.886822869341707
2024-05-14,101320.67206719023,85037.73258354765,2,16282.939483642578,16.07069826071094
2024-05-15,101468.80393364531,85037.73258354765,2,16431.071350097656,16.19322462975184
2024-05-16,101622.96433403593,85037.73258354765,2,16585.23175048828,16.320358158390675
2024-05-17,101718.7724089871,85037.73258354765,2,16681.039825439453,16.399175324657815
2024-05-18,101718.7724089871,85037.73258354765,2,16681.039825439453,16.399175324657815
2024-05-19,101718.7724089871,85037.73258354765,2,16681.039825439453,16.399175324657815
2024-05-20,101807.32114555937,85037.73258354765,2,16769.58856201172,16.471888635627042
2024-05-21,101671.53299858671,85037.73258354765,2,16633.800415039062,16.360332065879525
2024-05-22,101487.62488701445,85037.73258354765,2,16449.892303466797,16.20876665680211
2024-05-23,101638.58509209257,85037.73258354765,2,16600.852508544922,16.33321881990313
2024-05-24,101824.94004204375,85037.73258354765,2,16787.207458496094,16.48634160900524
2024-05-25,101824.94004204375,85037.73258354765,2,16787.207458496094,16.48634160900524
2024-05-26,101824.94004204375,85037.73258354765,2,16787.207458496094,16.48634160900524
2024-05-27,101824.94004204375,85037.73258354765,2,16787.207458496094,16.48634160900524
2024-05-28,101787.33200981718,85037.73258354765,2,16749.59942626953,16.45548527065634
2024-05-29,101365.83334975528,100481.83334975528,1,884.0,0.872088721403615
2024-05-30,101358.89737563419,100481.83334975528,1,877.0640258789062,0.8653054133259986
2024-05-31,101401.83334975528,100481.83334975528,1,920.0,0.9072814263887471
2024-06-01,101401.83334975528,100481.83334975528,1,920.0,0.9072814263887471
2024-06-02,101401.83334975528,100481.83334975528,1,920.0,0.9072814263887471
2024-06-03,101386.38681861672,89959.99051734719,2,11426.396301269531,11.270148448737695
2024-06-04,101516.49027320657,89959.99051734719,2,11556.499755859375,11.383864557135407
2024-06-05,101429.89429542336,89959.99051734719,2,11469.903778076172,11.308208351937232
2024-06-06,101559.15448829446,89959.99051734719,2,11599.163970947266,11.42109151005601
2024-06-07,101362.79026099954,89959.99051734719,2,11402.799743652344,11.24949275201602
2024-06-08,101362.79026099954,89959.99051734719,2,11402.799743652344,11.24949275201602
2024-06-09,101362.79026099954,89959.99051734719,2,11402.799743652344,11.24949275201602
2024-06-10,102113.37021705422,89959.99051734719,2,12153.379699707031,11.901849555913751
2024-06-11,102640.55629182966,76019.25599886091,3,26621.30029296875,25.936434149166672
2024-06-12,102755.65587068709,76019.25599886091,3,26736.399871826172,26.01939488904884
2024-06-13,102710.99656892927,76019.25599886091,3,26691.74057006836,25.987227718266322
2024-06-14,103115.11570955427,76019.25599886091,3,27095.85971069336,26.277291669840753
2024-06-15,103115.11570955427,76019.25599886091,3,27095.85971069336,26.277291669840753
2024-06-16,103115.11570955427,76019.25599886091,3,27095.85971069336,26.277291669840753
2024-06-17,102958.43553377302,76019.25599886091,3,26939.17953491211,26.165101863921937
2024-06-18,102650.61598421248,76019.25599886091,3,26631.359985351562,25.943692329569096
2024-06-19,102650.61598421248,76019.25599886091,3,26631.359985351562,25.943692329569096
2024-06-20,102629.23625398787,76019.25599886091,3,26609.980255126953,25.92826491397861
2024-06-21,102420.10740348272,67556.13679191045,4,34863.970611572266,34.0401621277608
2024-06-22,102420.10740348272,67556.13679191045,4,34863.970611572266,34.0401621277608
2024-06-23,102420.10740348272,67556.13679191045,4,34863.970611572266,34.0401621277608
2024-06-24,102719.59745475225,67556.13679191045,4,35163.4606628418,34.232475140229425
2024-06-25,103161.88705130987,67556.13679191045,4,35605.750259399414,34.51444256897908
2024-06-26,103375.64756461553,67556.13679191045,4,35819.51077270508,34.64985382588863
2024-06-27,102799.16676017217,67556.13679191045,4,35243.02996826172,34.28338096405276
2024-06-28,103563.73721000127,67556.13679191045,4,36007.60041809082,34.76854098561202
2024-06-29,103563.73721000127,67556.13679191045,4,36007.60041809082,34.76854098561202
2024-06-30,103563.73721000127,67556.13679191045,4,36007.60041809082,34.76854098561202
2024-07-01,103963.91712638311,67556.13679191045,4,36407.780334472656,35.019631176664646
2024-07-02,104035.54670401983,67556.13679191045,4,36479.409912109375,35.06437084998742
2024-07-03,104696.01667472295,67556.13679191045,4,37139.8798828125,35.474014258060386
2024-07-04,104696.01667472295,67556.13679191045,4,37139.8798828125,35.474014258060386
2024-07-05,104675.1266753333,67556.13679191045,4,37118.98988342285,35.46113681672758
2024-07-06,104675.1266753333,67556.13679191045,4,37118.98988342285,35.46113681672758
2024-07-07,104675.1266753333,67556.13679191045,4,37118.98988342285,35.46113681672758
2024-07-08,104507.11646720342,67556.13679191045,4,36950.97967529297,35.35738131947117
2024-07-09,105022.4862029212,67556.13679191045,4,37466.34941101074,35.67459766532228
2024-07-10,104096.3878447669,67556.13679191045,4,36540.251052856445,35.102323730336224
2024-07-11,104192.96636649541,67556.13679191045,4,36636.82957458496,35.16247867031263
2024-07-12,104468.39284451552,86961.01320584364,2,17507.379638671875,16.758542140806938
2024-07-13,104468.39284451552,86961.01320584364,2,17507.379638671875,16.758542140806938
2024-07-14,104468.39284451552,86961.01320584364,2,17507.379638671875,16.758542140806938
2024-07-15,104423.21355374403,86961.01320584364,2,17462.20034790039,16.722527255793587
2024-07-16,104046.05014800548,91686.5298843336,1,12359.520263671875,11.878894245471558
2024-07-17,103792.2494888258,91686.5298843336,1,12105.719604492188,11.663413852298751
2024-07-18,103799.26975249767,91686.5298843336,1,12112.739868164062,11.66938832714919
2024-07-19,103780.37024688243,91686.5298843336,1,12093.840362548828,11.653302386355794
2024-07-20,103780.37024688243,91686.5298843336,1,12093.840362548828,11.653302386355794
2024-07-21,103780.37024688243,91686.5298843336,1,12093.840362548828,11.653302386355794
2024-07-22,103837.06958770275,91686.5298843336,1,12150.53970336914,11.701543342482875
2024-07-23,103493.40095878499,103493.40095878499,0,0.0,0.0
2024-07-24,103493.40095878499,103493.40095878499,0,0.0,0.0
2024-07-25,103493.40095878499,103493.40095878499,0,0.0,0.0
2024-07-26,103493.40095878499,103493.40095878499,0,0.0,0.0
2024-07-27,103493.40095878499,103493.40095878499,0,0.0,0.0
2024-07-28,103493.40095878499,103493.40095878499,0,0.0,0.0
2024-07-29,103493.40095878499,103493.40095878499,0,0.0,0.0
2024-07-30,103493.40095878499,103493.40095878499,0,0.0,0.0
2024-07-31,103493.40095878499,103493.40095878499,0,0.0,0.0
2024-08-01,103493.40095878499,103493.40095878499,0,0.0,0.0
2024-08-02,103493.40095878499,103493.40095878499,0,0.0,0.0
2024-08-03,103493.40095878499,103493.40095878499,0,0.0,0.0
2024-08-04,103493.40095878499,103493.40095878499,0,0.0,0.0
2024-08-05,103493.40095878499,103493.40095878499,0,0.0,0.0
2024-08-06,103493.40095878499,103493.40095878499,0,0.0,0.0
2024-08-07,103493.40095878499,103493.40095878499,0,0.0,0.0
2024-08-08,103493.40095878499,103493.40095878499,0,0.0,0.0
2024-08-09,103493.40095878499,103493.40095878499,0,0.0,0.0
2024-08-10,103493.40095878499,103493.40095878499,0,0.0,0.0
2024-08-11,103493.40095878499,103493.40095878499,0,0.0,0.0
2024-08-12,103493.40095878499,103493.40095878499,0,0.0,0.0
2024-08-13,103493.40095878499,103493.40095878499,0,0.0,0.0
2024-08-14,103493.40095878499,103493.40095878499,0,0.0,0.0
2024-08-15,103493.40095878499,103493.40095878499,0,0.0,0.0
2024-08-16,103731.43326824154,98141.43326824154,1,5590.0,5.3889161885430505
2024-08-17,103731.43326824154,98141.43326824154,1,5590.0,5.3889161885430505
2024-08-18,103731.43326824154,98141.43326824154,1,5590.0,5.3889161885430505
2024-08-19,103613.18326824154,98141.43326824154,1,5471.75,5.280939960925942
2024-08-20,103666.93326824154,98141.43326824154,1,5525.5,5.330050601287288
2024-08-21,103462.25317638363,98141.43326824154,1,5320.81990814209,5.142764384872902
2024-08-22,103704.3430582806,98141.43326824154,1,5562.9097900390625,5.364201368994521
2024-08-23,103579.21322887386,98141.43326824154,1,5437.779960632324,5.249875714557447
2024-08-24,103579.21322887386,98141.43326824154,1,5437.779960632324,5.249875714557447
2024-08-25,103579.21322887386,98141.43326824154,1,5437.779960632324,5.249875714557447
2024-08-26,103658.33339946713,98141.43326824154,1,5516.900131225586,5.32219644123079
2024-08-27,103542.66329448666,98141.43326824154,1,5401.230026245117,5.216429493303092
2024-08-28,103197.80311077084,98141.43326824154,1,5056.369842529297,4.899687483755708
2024-08-29,103181.18962464557,83621.27950654255,2,19559.910118103027,18.95685656393227
2024-08-30,102184.26739879967,88149.75712963463,1,14034.510269165039,13.734511805415067
2024-08-31,102184.26739879967,88149.75712963463,1,14034.510269165039,13.734511805415067
2024-09-01,102184.26739879967,88149.75712963463,1,14034.510269165039,13.734511805415067
2024-09-02,102184.26739879967,88149.75712963463,1,14034.510269165039,13.734511805415067
2024-09-03,102097.78126109012,102097.78126109012,0,0.0,0.0
2024-09-04,102097.78126109012,102097.78126109012,0,0.0,0.0
2024-09-05,102097.78126109012,102097.78126109012,0,0.0,0.0
2024-09-06,102097.78126109012,102097.78126109012,0,0.0,0.0
2024-09-07,102097.78126109012,102097.78126109012,0,0.0,0.0
2024-09-08,102097.78126109012,102097.78126109012,0,0.0,0.0
2024-09-09,102097.78126109012,102097.78126109012,0,0.0,0.0
2024-09-10,102097.78126109012,102097.78126109012,0,0.0,0.0
2024-09-11,102097.78126109012,102097.78126109012,0,0.0,0.0
2024-09-12,102097.78126109012,102097.78126109012,0,0.0,0.0
2024-09-13,102097.78126109012,102097.78126109012,0,0.0,0.0
2024-09-14,102097.78126109012,102097.78126109012,0,0.0,0.0
2024-09-15,102097.78126109012,102097.78126109012,0,0.0,0.0
2024-09-16,102097.78126109012,102097.78126109012,0,0.0,0.0
2024-09-17,102097.78126109012,102097.78126109012,0,0.0,0.0
2024-09-18,102097.78126109012,102097.78126109012,0,0.0,0.0
2024-09-19,102097.78126109012,102097.78126109012,0,0.0,0.0
2024-09-20,102097.78126109012,102097.78126109012,0,0.0,0.0
2024-09-21,102097.78126109012,102097.78126109012,0,0.0,0.0
2024-09-22,102097.78126109012,102097.78126109012,0,0.0,0.0
2024-09-23,102097.78126109012,102097.78126109012,0,0.0,0.0
2024-09-24,102097.78126109012,102097.78126109012,0,0.0,0.0
2024-09-25,102097.78126109012,102097.78126109012,0,0.0,0.0
2024-09-26,102097.78126109012,102097.78126109012,0,0.0,0.0
2024-09-27,102097.78126109012,102097.78126109012,0,0.0,0.0
2024-09-28,102097.78126109012,102097.78126109012,0,0.0,0.0
2024-09-29,102097.78126109012,102097.78126109012,0,0.0,0.0
2024-09-30,102097.78126109012,102097.78126109012,0,0.0,0.0
2024-10-01,102097.78126109012,102097.78126109012,0,0.0,0.0
2024-10-02,102097.78126109012,102097.78126109012,0,0.0,0.0
2024-10-03,102097.78126109012,102097.78126109012,0,0.0,0.0
2024-10-04,102097.78126109012,102097.78126109012,0,0.0,0.0
2024-10-05,102097.78126109012,102097.78126109012,0,0.0,0.0
2024-10-06,102097.78126109012,102097.78126109012,0,0.0,0.0
2024-10-07,102097.78126109012,102097.78126109012,0,0.0,0.0
2024-10-08,102097.78126109012,102097.78126109012,0,0.0,0.0
2024-10-09,102097.78126109012,102097.78126109012,0,0.0,0.0
2024-10-10,102097.78126109012,102097.78126109012,0,0.0,0.0
