week,week_start,week_end,start_equity,end_equity,weekly_return,weekly_return_pct,trades,realized_pnl,volatility_annualized,max_drawdown,max_drawdown_pct
2024-01-01/2024-01-07,2024-01-01,2024-01-07,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-01-08/2024-01-14,2024-01-08,2024-01-14,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-01-15/2024-01-21,2024-01-15,2024-01-21,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-01-22/2024-01-28,2024-01-22,2024-01-28,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-01-29/2024-02-04,2024-01-29,2024-02-04,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-02-05/2024-02-11,2024-02-05,2024-02-11,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-02-12/2024-02-18,2024-02-12,2024-02-18,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-02-19/2024-02-25,2024-02-19,2024-02-25,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-02-26/2024-03-03,2024-02-26,2024-03-03,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-03-04/2024-03-10,2024-03-04,2024-03-10,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-03-11/2024-03-17,2024-03-11,2024-03-17,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-03-18/2024-03-24,2024-03-18,2024-03-24,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-03-25/2024-03-31,2024-03-25,2024-03-31,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-04-01/2024-04-07,2024-04-01,2024-04-07,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-04-08/2024-04-14,2024-04-08,2024-04-14,100000.0,69525.6732849121,-0.30474326715087896,-30.474326715087898,0,0.0,1.6928246519918406,0.30474326715087896,30.474326715087898
2024-04-15/2024-04-21,2024-04-15,2024-04-21,69525.6732849121,69525.6732849121,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-04-22/2024-04-28,2024-04-22,2024-04-28,69525.6732849121,69525.6732849121,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-04-29/2024-05-05,2024-04-29,2024-05-05,69525.6732849121,69525.6732849121,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-05-06/2024-05-12,2024-05-06,2024-05-12,64649.19736778259,64649.19736778259,0.0,0.0,0,0.0,0.3896177518454935,0.0,0.0
2024-05-13/2024-05-19,2024-05-13,2024-05-19,64649.19736778259,51364.60689353942,-0.20548732258296276,-20.548732258296276,0,0.0,0.8055946894913785,0.20548732258296273,20.548732258296273
2024-05-20/2024-05-26,2024-05-20,2024-05-26,51364.60689353942,35973.21811874389,-0.2996496947148143,-29.964969471481428,0,0.0,1.3154332054689424,0.29964969471481423,29.964969471481425
2024-05-27/2024-06-02,2024-05-27,2024-06-02,35973.21811874389,30225.40900161743,-0.15978023145311981,-15.978023145311981,0,0.0,0.5978809009690086,0.15978023145311976,15.978023145311976
2024-06-03/2024-06-09,2024-06-03,2024-06-09,24721.13135696411,16461.25345619202,-0.33412216380805837,-33.41221638080584,0,0.0,1.6298212268866439,0.3341221638080584,33.412216380805845
2024-06-10/2024-06-16,2024-06-10,2024-06-16,16461.25345619202,6052.445863723755,-0.6323216892424991,-63.23216892424991,0,0.0,2.3654070240617187,0.6323216892424991,63.23216892424991
2024-06-17/2024-06-23,2024-06-17,2024-06-23,4484.744101943969,4484.744101943969,0.0,0.0,0,0.0,1.4388329949752796,0.0,0.0
2024-06-24/2024-06-30,2024-06-24,2024-06-30,4484.744101943969,2579.5608637237547,-0.4248142580519564,-42.48142580519564,0,0.0,1.5140396920718018,0.4248142580519564,42.48142580519564
2024-07-01/2024-07-07,2024-07-01,2024-07-07,2121.828851394653,1697.6894489288327,-0.19989331476336492,-19.989331476336492,0,0.0,1.356366859943817,0.19989331476336492,19.989331476336492
2024-07-08/2024-07-14,2024-07-08,2024-07-14,1467.4801563262936,1467.4801563262936,0.0,0.0,0,0.0,0.7532557513872578,0.0,0.0
2024-07-15/2024-07-21,2024-07-15,2024-07-21,1467.4801563262936,1467.4801563262936,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-07-22/2024-07-28,2024-07-22,2024-07-28,1467.4801563262936,1467.4801563262936,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-07-29/2024-08-04,2024-07-29,2024-08-04,1467.4801563262936,1467.4801563262936,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-08-05/2024-08-11,2024-08-05,2024-08-11,1467.4801563262936,1467.4801563262936,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-08-12/2024-08-18,2024-08-12,2024-08-18,1467.4801563262936,1467.4801563262936,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-08-19/2024-08-25,2024-08-19,2024-08-25,1467.4801563262936,1467.4801563262936,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-08-26/2024-09-01,2024-08-26,2024-09-01,1467.4801563262936,1467.4801563262936,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-09-02/2024-09-08,2024-09-02,2024-09-08,1467.4801563262936,1467.4801563262936,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-09-09/2024-09-15,2024-09-09,2024-09-15,1467.4801563262936,1467.4801563262936,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-09-16/2024-09-22,2024-09-16,2024-09-22,1467.4801563262936,1467.4801563262936,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-09-23/2024-09-29,2024-09-23,2024-09-29,1467.4801563262936,1467.4801563262936,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-09-30/2024-10-06,2024-09-30,2024-10-06,1467.4801563262936,1467.4801563262936,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-10-07/2024-10-13,2024-10-07,2024-10-13,1467.4801563262936,1467.4801563262936,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-10-14/2024-10-20,2024-10-14,2024-10-20,1467.4801563262936,1467.4801563262936,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-10-21/2024-10-27,2024-10-21,2024-10-27,1231.2563118743892,1231.2563118743892,0.0,0.0,0,0.0,0.8941890585557866,0.0,0.0
2024-10-28/2024-11-03,2024-10-28,2024-11-03,1231.2563118743892,1231.2563118743892,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-11-04/2024-11-10,2024-11-04,2024-11-10,1231.2563118743892,1231.2563118743892,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-11-11/2024-11-17,2024-11-11,2024-11-17,1231.2563118743892,1231.2563118743892,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-11-18/2024-11-24,2024-11-18,2024-11-24,1231.2563118743892,1231.2563118743892,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-11-25/2024-12-01,2024-11-25,2024-12-01,1231.2563118743892,1231.2563118743892,0.0,0.0,0,0.0,0.0,0.0,0.0
