week,week_start,week_end,start_equity,end_equity,weekly_return,weekly_return_pct,trades,realized_pnl,volatility_annualized,max_drawdown,max_drawdown_pct
2024-02-26/2024-03-03,2024-03-01,2024-03-03,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-03-04/2024-03-10,2024-03-04,2024-03-10,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-03-11/2024-03-17,2024-03-11,2024-03-17,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-03-18/2024-03-24,2024-03-18,2024-03-24,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-03-25/2024-03-31,2024-03-25,2024-03-31,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-04-01/2024-04-07,2024-04-01,2024-04-07,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0.0
2024-04-08/2024-04-14,2024-04-08,2024-04-14,100000.0,99566.72799069108,-0.00433272009308916,-0.43327200930891596,0,0.0,0.017665981959658218,0.004332720093089156,0.43327200930891563
2024-04-15/2024-04-21,2024-04-15,2024-04-21,99522.02828365983,99514.66301362387,-7.400643016408637e-05,-0.007400643016408637,1,-373.94332090670343,0.01150010943470937,0.0013943186138131141,0.13943186138131142
2024-04-22/2024-04-28,2024-04-22,2024-04-28,99633.46275727621,100106.86272065512,0.0047514153405687765,0.47514153405687765,0,0.0,0.061376029344068536,0.003464244268979448,0.34642442689794484
2024-04-29/2024-05-05,2024-04-29,2024-05-05,99904.66301362387,100223.86345307699,0.003195050459352311,0.3195050459352311,0,0.0,0.016378593162868813,0.0,0.0
2024-05-06/2024-05-12,2024-05-06,2024-05-12,100410.09754427496,100282.72251375738,-0.0012685480208941557,-0.12685480208941557,0,0.0,0.013901224210330581,0.0015872943321548626,0.15872943321548627
2024-05-13/2024-05-19,2024-05-13,2024-05-19,100359.50733431402,100771.4274240357,0.00410444511599195,0.41044451159919504,0,0.0,0.00794993447922651,0.0,0.0
2024-05-20/2024-05-26,2024-05-20,2024-05-26,100830.25791414801,100835.83217867438,5.5283648397574936e-05,0.005528364839757494,0,0.0,0.013527724263018707,0.0021415711662517625,0.21415711662517625
2024-05-27/2024-06-02,2024-05-27,2024-06-02,100835.83217867438,100557.28192716897,-0.0027624133751565916,-0.27624133751565916,1,811.7607949392149,0.015325314039281536,0.003028538851050207,0.3028538851050207
2024-06-03/2024-06-09,2024-06-03,2024-06-09,100548.10761298683,100518.29212989357,-0.00029652953000391946,-0.029652953000391946,0,0.0,0.0140608519856404,0.0016775736190678076,0.16775736190678076
2024-06-10/2024-06-16,2024-06-10,2024-06-16,101159.27208747414,101942.97498849506,0.00774721767811104,0.774721767811104,0,0.0,0.038183448984176395,0.0004561850478071908,0.04561850478071908
2024-06-17/2024-06-23,2024-06-17,2024-06-23,101809.80482247943,101426.76959456834,-0.003762262667912686,-0.3762262667912686,0,0.0,0.013721415643811378,0.003762262667912729,0.3762262667912729
