trade_id,symbol,asset_class,entry_date,exit_date,entry_price,exit_price,quantity,entry_fill_id,exit_fill_id,realized_pnl,entry_slippage_bps,entry_fee_bps,entry_total_cost,exit_slippage_bps,exit_fee_bps,exit_total_cost,total_cost,initial_stop_price,stop_price,exit_reason,triggered_on,holding_days,r_multiple,adv20_at_entry
1,AMZN,equity,2024-04-12,2024-04-18,187.7367373728883,181.3499481727975,57,70c45269-b3e6-4743-95c2-094716f80209,1ec5a55b-343e-4958-a74e-19d4323652d1,-373.94332090670343,0.8915486936044799,1,2.0241451278197493,6.615586438423358,1,7.872191373707152,9.896336501526902,180.28408026695251,180.28408026695251,trailing_ma_cross,20D,6,-0.856981491205861,6535891456.0
2,GOOGL,equity,2024-04-12,2024-05-31,158.04036083608173,171.7715193304526,60,04cd04bc-11a5-47cf-849a-4550b0dcfd57,9fc6b3a0-a153-42ac-990c-a5a1c78ff92e,811.7607949392149,5.086991567435878,1,5.771942062342518,5.148451040656743,1,6.336772660695068,12.108714723037586,151.14831173419952,151.14831173419952,trailing_ma_cross,20D,49,1.992318727186798,4440557056.0
3,NVDA,equity,2024-05-07,2024-06-25,91.0979995727539,121.14764577443897,5,399fcd97-5504-4867-9cea-17cacef668df,0a6f508b-7aad-4fa8-a4be-461db9612d72,149.8804653796675,0.0,1,0.045548999786376956,4.319403887903033,1,0.3222166289714251,0.36776562875780205,82.3451007604599,82.3451007604599,trailing_ma_cross,20D,49,3.4331079161429825,39816425472.0
4,MSFT,equity,2024-06-12,2024-07-16,435.4007727298065,454.1310072793199,23,3076b4dc-fb43-48a6-91c8-51387c65b550,48135549-0960-4064-9672-6a8b5311e596,424.84506295622816,1.8553111327040201,1,2.859370749195704,1.9592695421622859,1,3.0909609333842925,5.950331682579996,415.2236387729645,415.2236387729645,trailing_ma_cross,20D,34,0.9282901421766117,7789883904.0
5,AMZN,equity,2024-06-24,2024-07-16,189.3767207293724,195.49750870922298,11,15a92029-cef0-40e7-82bb-9d7989f08091,20612435-fcd5-4a74-8fcf-65b88af09877,65.37438859330167,2.4675908659954393,1,0.7223490857366751,4.7286482130633996,1,1.2319300993179805,1.9542791850546557,180.37666034698486,180.37666034698486,trailing_ma_cross,20D,22,0.6800829905350976,6519474688.0
6,GOOGL,equity,2024-06-24,2024-07-18,180.3328074389404,181.8437217508993,12,d7f8a852-b6f7-45b8-ae62-edc973108bc4,bbcb7404-b97a-4284-89d9-c0a0d89df710,14.585965427414205,9.591683687745363,1,2.2920336658996208,4.741984738913772,1,1.2529726501931355,3.5450063160927563,171.28562998771667,171.28562998771667,trailing_ma_cross,20D,24,0.16700394350666214,4336733696.0
7,AAPL,equity,2024-06-04,2024-07-25,194.66058403381086,218.7435914781116,46,9ac5a46e-702b-447d-8db9-8bac962cd6f3,1580a58e-68de-4521-a9ee-9a03104bd105,1096.1722555915012,1.3147444034796778,1,2.0727116883636065,8.514191929184783,1,9.573375157968936,11.646086846332542,186.211217045784,186.211217045784,trailing_ma_cross,20D,51,2.8502735741538316,10141179904.0
8,NVDA,equity,2024-08-19,2024-09-04,124.34068322356703,105.36017385857949,28,329bea2f-f6fc-404d-9422-1923767d9d84,c1170adf-0b02-46f4-9dde-a7deb0e4fbc9,-535.1919936792858,4.882880983762505,1,2.0481480343630882,4.727236675716419,1,1.6895834252716013,3.7377314596346896,106.78839802742004,106.78839802742004,trailing_ma_cross,20D,16,-1.0813696993229165,40851251200.0
9,AAPL,equity,2024-08-30,2024-09-05,230.28242898585214,221.50046717113506,41,1d1914ce-8214-4b6d-8b51-414a4aac7076,e5c01520-5fe0-468c-a51a-dd00a49b18ed,-370.80673113454054,4.015228440227713,1,4.735167847251714,5.619078572586676,1,6.0111288838886345,10.746296731140347,217.61984539031982,217.61984539031982,trailing_ma_cross,20D,6,-0.6935363347030998,11058880512.0
10,AAPL,equity,2024-10-22,2024-10-31,233.93515794894796,229.27903670365276,47,63806b59-b167-4dd2-a5f9-e9719fe9d010,ef146b2c-643d-4e54-9b06-e96dd70f704e,-226.2373339480331,2.1447909566749663,1,3.4576826950810524,2.658046359609075,1,3.941952724077821,7.399635419158873,225.90308952331543,225.90308952331543,trailing_ma_cross,20D,9,-0.5796914317159249,9150610432.0
11,NVDA,equity,2024-10-15,2024-11-01,137.8699951171875,134.68504068919475,42,1ed3930d-6053-4e86-9a7c-8a879a9d1813,21689d66-1de8-42a2-8a1f-653283a992af,-135.540910258733,0.0,1,0.5790539794921875,1.1103384845058755,1,1.1937703035453193,1.7728242830375067,126.02260208129883,126.02260208129883,trailing_ma_cross,20D,17,-0.268831667721729,33491732480.0
12,AMZN,equity,2024-10-30,2024-11-01,194.72765562443638,198.85688680327036,27,9f5e033a-0e2f-4dc2-be90-7736bbc1a228,0ff45b90-62bc-4681-882e-3016befbac15,105.68363420910413,1.676894578158213,1,1.4074165950079862,7.191617926112565,1,4.3981910244052385,5.805607619413225,181.2851506471634,181.2851506471634,trailing_ma_cross,20D,2,0.30717721033506745,5458917376.0
13,NVDA,equity,2024-11-07,2024-11-18,146.45978385935868,139.4222785749337,20,0e4b94f1-0a6f-49f5-8345-6e607fe36725,7efb30d6-a034-4440-873c-bc03acf5cb77,-144.27178699873969,4.7670243869942635,1,1.6892742904616607,5.5714283201646175,1,1.8324070197783997,3.5216813102400604,133.80736899375916,133.80736899375916,trailing_ma_cross,20D,11,-0.5562183471836002,31102074880.0
14,AMZN,equity,2024-11-04,2024-11-22,196.4499969482422,198.1716859773652,16,59b862ae-a17a-4f42-83c7-5b2c1cc0b1a4,9a65574d-6af1-4cbe-b8a0-b0c5cefcc937,25.663100389078647,0.0,1,0.3143199951171875,3.95026595888063,1,1.5696040817723727,1.8839240768895602,185.79038262367249,185.79038262367249,trailing_ma_cross,20D,18,0.16151513335286757,6632355328.0
15,GOOGL,equity,2024-11-07,2024-11-22,177.5283067373302,165.8465005782344,24,b3d9948a-871d-4a6d-97e0-eff1c4945343,a681dd21-d6c2-42e1-bf75-31f245ea404d,-284.1127453147721,6.66834297834346,1,3.2672350666233836,0.21136720845394485,1,0.4821624298495473,3.749397496472931,166.55803883075714,166.55803883075714,trailing_ma_cross,20D,15,-1.0648606085632963,4355548672.0
16,MSFT,equity,2024-12-18,2024-12-23,451.5604601798807,436.6169417010119,11,c6cba7ab-924f-40d7-84d7-07f589aa9a53,c539e6fc-8c9f-432d-8378-4c35fa20d6bf,-169.3552415247922,5.32776858459203,1,3.1431071033671865,2.8174322506413225,1,1.8334311538684078,4.976538257235594,436.06741189956665,436.06741189956665,trailing_ma_cross,20D,5,-0.9645305564468221,9070826496.0
17,AMZN,equity,2024-12-05,2024-12-31,218.17731562612917,222.83352703199512,39,58f936c5-c528-4f43-97d5-ebd3244898f3,b8f80adc-9a2d-4ed6-91bd-918cfe61acb7,168.99878387508485,6.756723737883936,1,6.600130536421468,5.896410111669604,1,5.993330417265567,12.593460953687035,205.42332434654236,205.42332434654236,trailing_ma_cross,20D,26,0.3650787666225213,8871530496.0
18,AAPL,equity,2024-11-27,2025-01-03,234.47707894293802,243.22228806039246,52,0d3d2b30-d202-4671-82f6-d085f0aed1be,a4188a78-7623-41d3-a906-593100441f09,444.4815092573715,0.5153266046580409,1,1.847608650704636,5.6587997047054905,1,8.421756199554542,10.269364850259178,225.50266635417938,225.50266635417938,trailing_ma_cross,20D,37,0.9744603372045427,10688753664.0
